sensor_id,timestamp,track_section,gps_lat,gps_lon,acc_x_ms2,acc_y_ms2,acc_z_ms2,gyro_roll,gyro_pitch,gyro_yaw,vibration_magnitude,vibration_spike_pct,is_anomaly,aknn_distance_to_baseline,anomaly_confidence,flag_dispatched_to_pillar_d
DEV-16256,2026-06-10 23:34:25.000,Mumbai-Pune,18.52°N,73.86°E,0.0723,-0.0048,9.8819,0.0071,-0.0131,-0.01,0.1021,0,False,0.0654,0.0,False
DEV-92279,2026-06-13 02:32:47.000,Vadodara-Surat,22.30°N,73.10°E,-0.0138,-0.0054,9.7789,0.0124,-0.0007,-0.0198,0.0345,0,False,0.0599,0.0,False
DEV-42457,2026-06-12 19:29:39.000,Kolkata-Asansol,23.68°N,86.98°E,-0.0677,0.1695,9.8515,-0.0239,0.0124,0.0113,0.1872,56.0,False,0.0263,0.0,False
DEV-65690,2026-06-11 19:36:24.000,Kolkata-Asansol,23.68°N,86.98°E,0.0295,-0.13,9.861,0.0168,-0.0075,0.0035,0.1427,18.9,False,0.0733,0.0,False
DEV-75382,2026-06-11 16:40:46.000,Delhi-Agra,27.18°N,78.01°E,-0.1249,0.1074,9.7277,-0.0127,-0.0124,0.0072,0.1841,53.4,False,0.0582,0.0,False
DEV-26958,2026-06-11 14:02:44.000,Jaipur-Ajmer,26.45°N,74.64°E,-0.4029,0.0212,9.83,-0.01,0.022,0.0169,0.404,236.7,False,0.0781,0.0,False
DEV-88852,2026-06-11 19:22:08.000,Kolkata-Asansol,23.68°N,86.98°E,0.0395,0.1322,9.8058,-0.048,-0.0336,0.027,0.138,15.0,False,0.0711,0.0,False
DEV-13667,2026-06-10 14:02:03.000,Vadodara-Surat,22.30°N,73.10°E,-0.0449,0.1415,9.8604,0.0115,-0.0118,0.0089,0.1568,30.7,False,0.0675,0.0,False
DEV-81766,2026-06-10 16:21:01.000,Kolkata-Asansol,23.68°N,86.98°E,0.118,-0.0396,9.7994,0.0124,-0.0001,-0.001,0.1249,4.1,False,0.0409,0.0,False
DEV-89391,2026-06-12 21:22:57.000,Vadodara-Surat,22.30°N,73.10°E,-0.1737,-0.0687,9.923,-0.0204,-0.0315,0.0037,0.2183,81.9,False,0.028,0.0,False
